"","Time","LowLow","LowMed","LowHigh","HighLow","HighMed","HighHigh"
"1",1,0,0,0,0,0,0
"2",2,-0.474457855798796,-0.559875545617611,-0.534657559340989,0.265379730364192,0.398680968077073,0.341930526258349
"3",3,-0.458350790459995,-0.539849400453337,-0.517982938051414,0.253316608254844,0.378192397655221,0.325945728875787
"4",4,-0.440526505051835,-0.518062273829446,-0.499960072781308,0.238295030295471,0.355343626316092,0.308630273468829
"5",5,-0.423523641260027,-0.497410934831311,-0.483312764656963,0.22187925978871,0.332681998415119,0.291707427191568
"6",6,-0.407693753804394,-0.478423617453297,-0.468020080755291,0.2070780241226,0.310807008131732,0.275934469795695
"7",7,-0.392559935960621,-0.460492522122655,-0.45344527721813,0.192575614751357,0.289551565521074,0.26147825843362
"8",8,-0.378451243310567,-0.444229796726213,-0.439685513792137,0.179337731562076,0.271195708842567,0.248526216003198
"9",9,-0.366656465521825,-0.429876358099494,-0.427975904876845,0.167086383105215,0.254929195878789,0.23577215146826
"10",10,-0.356188853062382,-0.415211631266655,-0.416268371975717,0.158404194204673,0.237076750580396,0.223425709643433
"11",11,-0.344351751879565,-0.402701291468126,-0.405444254996945,0.14962458926352,0.221343741096431,0.21263057821308
"12",12,-0.334910857420265,-0.391554149939514,-0.395409787181891,0.141226192053428,0.208621821384953,0.203020120086455
"13",13,-0.327052828795516,-0.382433893672906,-0.386901288220274,0.133150191887439,0.19656098418118,0.193805611292902
"14",14,-0.31963052096437,-0.370637451656016,-0.378617776520207,0.127117981525747,0.185814252036735,0.18517246842796
"15",15,-0.313191997018061,-0.362442069695107,-0.371857549207297,0.12145827171895,0.176677365054605,0.17705474774078
"16",16,-0.307565137374674,-0.355100773610149,-0.363838911487302,0.117857312869556,0.167859489064647,0.170126083174635
"17",17,-0.301512401819197,-0.347164815373631,-0.357687335378764,0.114011024514852,0.159737613406741,0.162804624834431
"18",18,-0.296665562095762,-0.34037426327757,-0.350507599577384,0.109281726883767,0.151172898518482,0.155751300075531
"19",19,-0.29229871428445,-0.334736280778166,-0.345574642969924,0.106135227279275,0.146022325765293,0.150947311733116
"20",20,-0.288299892893534,-0.329170390057781,-0.341014166457192,0.104005722231545,0.140912979619817,0.145623742329923
