"","Time","LowLow","LowMed","LowHigh","HighLow","HighMed","HighHigh"
"1",1,0,0,0,0,0,0
"2",2,0,0,0,0,0,0
"3",3,-0.00905338477269102,-0.00678891633369161,-0.00208651248905878,0.00869205055140265,0.00687577668250205,0.00278179794718225
"4",4,-0.0170620209454686,-0.0122691892044648,-0.00413359840583283,0.0165508654840403,0.0126448476258101,0.00562685275509667
"5",5,-0.0241490445813697,-0.0172871171326863,-0.0074762938202948,0.0235307007369732,0.0179423395675995,0.00985285689510196
"6",6,-0.0303726972351805,-0.0223953068216654,0,0.02948315738396,0.0231792815042144,0
"7",7,-0.0355775468491797,0,0,0.0341363866489401,0,0
"8",8,-0.0394948408682092,0,0,0.0369180720265878,0,0
"9",9,0,0,0,0,0,0
"10",10,0,0,0,0,0,0
"11",11,0,0,0,0,0,0
"12",12,0,0,0,0,0,0
"13",13,0,0,0,0,0,0
"14",14,0,0,0,0,0,0
"15",15,0,0,0,0,0,0
"16",16,0,0,0,0,0,0
"17",17,0,0,0,0,0,0
"18",18,0,0,0,0,0,0
"19",19,0,0,0,0,0,0
"20",20,0,0,0,0,0,0
