"","Time","LowLow","LowMed","LowHigh","HighLow","HighMed","HighHigh"
"1",1,0,0,0,0,0,0
"2",2,-0.124583439220353,-0.13228797584247,-0.151585180071603,0.145302710730064,0.135235306007364,0.139572152522765
"3",3,-0.116518976900402,-0.123600982660696,-0.143395293327335,0.135640051414233,0.12674220882465,0.133209114985281
"4",4,-0.106360089022418,-0.114140973445377,-0.133821897428729,0.124264583517403,0.117491027175208,0.124844819369998
"5",5,-0.0969376918881312,-0.105347155161652,-0.124712416659901,0.113907179644245,0.108843958251022,0.116863986736542
"6",6,-0.0884579821815758,-0.0973674578468142,-0.116095326195206,0.104694477829573,0.100736527260221,0.109518872338938
"7",7,-0.0810052888368292,-0.0899840708519,-0.108632558890543,0.0960113074256617,0.0934469840324502,0.10199902321979
"8",8,-0.0745793633916264,-0.0828263517750313,-0.100958589675621,0.0884897463865274,0.0868654746406441,0.0955766923676873
"9",9,-0.0685540146579905,-0.0770785381943702,-0.0940450008910099,0.0815589065496459,0.0805335209019616,0.0891905581433193
"10",10,-0.0623941155177372,-0.0708898996905874,-0.0876161564331015,0.075054941485733,0.0746771256513911,0.083593575788425
"11",11,-0.057871975572535,-0.0657024751710799,-0.0819508978031721,0.0693531554356724,0.0690380565572244,0.0781394445938419
"12",12,-0.0532396715403551,-0.0605699450782584,-0.0762196767648767,0.0640432127777331,0.0644894968628185,0.0728161370758257
"13",13,-0.0490657313163602,-0.0565066866806497,-0.070584407601292,0.0591217403074362,0.0595943290604791,0.0683095539701691
"14",14,-0.0452662341813048,-0.0520382639114417,-0.0657483328777377,0.0542634099802748,0.0552338966477204,0.0633697872208691
"15",15,-0.0421918470587561,-0.0485080818424206,-0.0610051457354962,0.0504610650706065,0.0510368040266707,0.0587382105430694
"16",16,-0.0385531373150891,-0.0447038706233752,-0.0572094411795673,0.0464642807055829,0.0476566123192181,0.0550786174294174
"17",17,-0.0357333617213668,-0.0414385813320238,-0.052931447025029,0.04292541412108,0.0440810197186046,0.051241055492849
"18",18,-0.0326661282995815,-0.0383845495914589,-0.0493354954641818,0.0395610850652745,0.0405824326926598,0.0475786885960831
"19",19,-0.0307706285191793,-0.0356032293275931,-0.0458221665396266,0.037075372563712,0.038241724660336,0.0444851756650961
"20",20,-0.0281833191585558,-0.0335386287249314,-0.04326698558866,0.0341161984302353,0.0355411553769119,0.0421403409198939
