"","Time","LowLow","LowMed","LowHigh","HighLow","HighMed","HighHigh"
"1",1,0,0,0,0,0,0
"2",2,-0.218061599190663,-0.129950039757259,-0.0215274506325662,0.166455862079777,0.115041903805185,0.0452290102072974
"3",3,-0.26045776739801,-0.16984597230825,-0.017932235297057,0.210068259657282,0.160116112290831,0.0633992468203401
"4",4,-0.297243393571176,-0.200915874305765,-0.0183259083321277,0.250391511703825,0.198293169163214,0.0795721212206009
"5",5,-0.332207275963338,-0.227213685177021,-0.0218704918946759,0.288563082947804,0.231317836394253,0.101289706925092
"6",6,-0.365881923845987,-0.250278743116056,-0.0312631171744284,0.325039540334163,0.260466012218498,0.132254597622048
"7",7,-0.39754673581931,-0.270953857657823,-0.0499890263483849,0.359292625460745,0.286738807274158,0.175541988560495
"8",8,-0.427730485236262,-0.291174107566208,-0.0799356700907827,0.391217869891785,0.311536429845793,0.236927376085003
"9",9,-0.456709167603963,-0.312484265552504,-0.126658314588634,0.420079235403964,0.336268084203468,0.298702670557206
"10",10,-0.48323748528425,-0.33471304984598,0,0.446068052720013,0.361956864811813,0
"11",11,-0.507281271568595,-0.359029548889805,0,0.469125650190964,0.390504919757217,0
"12",12,-0.529141404015785,-0.386042065196161,0,0.489381254914508,0.422753881874725,0
"13",13,-0.548539996364599,-0.416831993874142,0,0.506292131449336,0.459890146945262,0
"14",14,-0.565908089683042,-0.452059409925504,0,0.520432564655296,0.502544670957437,0
"15",15,-0.581021255664532,-0.490871187536572,0,0.532124335570401,0.518628583685136,0
"16",16,-0.592430382234362,-0.472935041407403,0,0.543100629315182,0.220590621094483,0
"17",17,-0.602498374980374,-0.239315402609654,0,0.550140673355512,0.136979711310982,0
"18",18,-0.610169669965487,-0.140088555610696,0,0.554185669661766,0.0983609919535162,0
"19",19,-0.618330024283127,-0.0867353745727693,0,0.548954874346467,0.0713845822539287,0
"20",20,-0.624094641340639,-0.0742641062364715,0,0.534678076338432,0.0638615582237803,0
