"","Time","LowLow","LowMed","LowHigh","HighLow","HighMed","HighHigh"
"1",1,0,0,0,0,0,0
"2",2,-0.5442753857488,-0.613456626981656,-0.572676304901892,0.336014202182202,0.331956340800373,0.303769546127066
"3",3,-0.531971410116323,-0.599258190896766,-0.561740848545764,0.321114992238133,0.318350242219378,0.292093387184692
"4",4,-0.518716374629935,-0.583897166899281,-0.549908676929706,0.305560974904969,0.30388459570545,0.279816148427559
"5",5,-0.50652738692721,-0.569759475459204,-0.538994565225033,0.290806059166728,0.289951789920374,0.268100447790254
"6",6,-0.495344833113484,-0.556865384091559,-0.528990596032643,0.277421246477763,0.277242437144142,0.257466075616303
"7",7,-0.484782856899851,-0.544606052550938,-0.519475058810233,0.265458980608925,0.265655748162811,0.247867809541061
"8",8,-0.475046109169932,-0.533342853998991,-0.510694185835821,0.254613360133185,0.255079146990629,0.239145103549436
"9",9,-0.466590118376156,-0.523586600181711,-0.503058109797614,0.244586043079459,0.245238533869413,0.23106194023508
"10",10,-0.45810763419318,-0.514051573105494,-0.49552848266031,0.234492899317854,0.235543479772822,0.223065227545863
"11",11,-0.450577095610095,-0.505332706269892,-0.488669524843687,0.22642092733468,0.227432881914279,0.216475621871977
"12",12,-0.443357763376653,-0.497142456888094,-0.482183137925157,0.218628435208507,0.219743939657175,0.210209293254613
"13",13,-0.437086700317461,-0.489898010240096,-0.476441160901063,0.211455140166835,0.212459657325945,0.204320847171394
"14",14,-0.431172443035647,-0.483240666040455,-0.471136312809611,0.204195590274044,0.205258981803393,0.198481241235531
"15",15,-0.425751507691689,-0.477114007227284,-0.466244665772957,0.198043671166423,0.199091892329708,0.193499548155915
"16",16,-0.420175242683474,-0.470868343115144,-0.461246751946298,0.192599331466704,0.193664405290683,0.189120406201487
"17",17,-0.415631926447684,-0.465785078985588,-0.457171808330604,0.187015925577132,0.188067815850594,0.184617523484428
"18",18,-0.411728879139326,-0.461319450049839,-0.453577256055739,0.181044811568585,0.181938790049993,0.179703495115374
"19",19,-0.407490313552179,-0.456452497718883,-0.449643407538785,0.177803254645895,0.178521822207057,0.176967311843782
"20",20,-0.403689448500006,-0.452310513010996,-0.446315238410943,0.173815600457133,0.174596061221517,0.173823908749321
